id,title,artist,genre,mood_tags,danceability,energy,valence,tempo,loudness,speechiness,acousticness,instrumentalness,liveness,duration_ms,key,mode,time_signature,popularity
sSsb1QzraK3RXVd6MVF155,Fading Memory,Cole Voss,r&b,melancholic|dreamy,0.762,0.835,0.3,90.1,-10.07,0.0,0.083,0.312,0.514,226485,6,1,5,37
I4xHG6r1kq608E9ZsV3vZh,Endless Dream,The Memorys,indie,playful|dreamy|chill,0.57,0.37,0.544,112.6,-8.34,0.047,0.401,0.076,0.115,230939,4,1,4,49
48Ju6NoPeO0D6StPAhic8c,Fading Garden,The Memorys,latin,aggressive,0.857,0.626,0.772,103.9,-7.45,0.008,0.303,0.101,0.247,173552,7,0,5,66
2xgRxI5Pwdzrm9h820DfQn,Radiant Horizon,The Roads,indie,playful|nostalgic,0.501,0.409,0.294,103.5,-6.76,0.0,0.224,0.232,0.225,202892,11,1,4,0
qZlhQ3biawYYpLublqdiVA,Bitter River,Reo Shaw,electronic,melancholic|happy,0.822,0.966,0.607,133.3,-6.63,0.124,0.078,0.431,0.322,294078,2,0,5,45
5fuMjeirNOLJTuyMHsDGMB,Electric River,Toma Hale,reggae,aggressive|energetic,0.729,0.713,0.603,81.5,-8.39,0.05,0.0,0.0,0.344,214311,6,0,4,39
ZiJdL9JJvQhAw3Q8WB36Ud,Fading Bloom,Leo Hale,r&b,dreamy|chill,0.524,0.344,0.594,94.1,-1.31,0.038,0.15,0.116,0.045,229197,6,0,4,49
rblrSWt6vwal3jKQzejVOb,Broken City,Finn Shaw,rock,sad|chill,0.41,0.924,0.641,140.6,-9.96,0.028,0.18,0.069,0.042,173476,8,0,5,78
nWGhwBhsRRLFHQtcozMdan,Fading Echo,Talia Stone,classical,sad|melancholic,0.203,0.276,0.259,109.1,-15.1,0.042,0.942,0.82,0.079,190760,7,1,4,25
OAshzb9ukZ8ND1S6xfB2gp,Hollow Wave,Nova Cade,country,dreamy|energetic,0.603,0.655,0.549,93.2,-2.53,0.104,0.181,0.129,0.169,217043,1,1,5,26
lMjWWPel8XOFDWKWLCR74K,Radiant Road,Wren Marsh,latin,happy|aggressive|chill,0.853,0.771,0.856,113.2,-6.79,0.047,0.335,0.114,0.0,226670,2,1,4,31
V5cC6ZKPmuMEGj9dCgZ51v,Broken City,Kai Voss,jazz,playful|uplifting,0.406,0.339,0.699,112.7,-11.83,0.13,0.625,0.412,0.193,212533,9,1,4,1
3jvfLQj6wt9PSQziMT8ftJ,Burning Road,Zara Reyes,classical,melancholic|happy|chill,0.156,0.182,0.538,82.7,-20.55,0.049,0.785,0.859,0.12,264936,4,1,5,61
Myjkl1SXNZ5kUCcAxRUpCN,Fading Storm,Rio Stone,electronic,playful|energetic|dreamy,0.609,0.952,0.747,134.3,-4.29,0.002,0.697,0.407,0.0,198795,8,0,4,64
J7gT2H2hsfWkrC5Gj1Bf86,Lonely Storm,Ava Wells,metal,aggressive,0.283,1.0,0.334,109.2,-5.62,0.097,0.0,0.215,0.0,234574,10,1,4,56
fbqn1jJ8UMHBhXspthdpAO,Radiant Storm,The Gardens,classical,uplifting,0.335,0.636,0.425,90.3,-20.6,0.0,0.925,1.0,0.203,240025,7,0,4,43
3EcOyxqVbwYewpUQOgXLVW,Crystal Shadow,The Stars,metal,tense|energetic,0.404,0.903,0.433,140.7,-1.91,0.049,0.0,0.171,0.114,229785,8,0,4,43
IEqcWPmsw3Xd3PvrhZxB4z,Endless Ghost,Jax Knox,latin,aggressive|tense|chill,0.665,0.391,0.606,118.3,-4.86,0.055,0.213,0.146,0.203,282539,0,1,4,0
wCcU36wNBrOY8deQOzxGZV,Neon Horizon,The Blooms,rock,happy|sad|tense,0.465,0.793,0.49,117.9,-6.62,0.124,0.0,0.0,0.221,196112,6,0,4,70
lFHy6JhqXqTCnNsS6Fmhi2,Broken Storm,Iris Reyes,classical,dreamy,0.11,0.473,0.535,103.6,-18.94,0.067,0.917,0.69,0.212,244115,5,1,4,49
bxJKxDZJiN4fetzTUEHAXA,Faded Dream,The Roads,reggae,romantic,0.693,0.306,0.567,105.3,-9.57,0.076,0.391,0.0,0.035,234375,2,0,4,54
Tow88H5s2fqmO9JriOtNIf,Bitter Skyline,Mira Quinn,folk,tense|uplifting,0.387,0.343,0.59,94.3,-7.96,0.103,0.583,0.0,0.278,159403,8,0,4,54
EpZZRztDeSdkCAEDnvMju3,Crystal Ocean,Mira Frost,blues,chill,0.541,0.482,0.353,94.2,-7.29,0.0,0.744,0.085,0.089,297356,8,1,4,52
GDF4tFbf8zGD9pnLwddsFM,Restless Rain,Leo Wells,r&b,nostalgic|dreamy,0.744,0.591,0.481,86.9,-13.08,0.123,0.237,0.246,0.3,172778,9,1,4,46
gzxYvJ8xWjmMGzGccciTvZ,Restless City,Zara Marsh,latin,playful|chill,0.66,0.67,0.726,97.6,-3.93,0.019,0.383,0.069,0.222,143915,9,0,4,33
U3SObMEq9PYXLKoUdLEkHO,Radiant Ghost,The Memorys,country,melancholic,0.746,0.538,0.559,99.0,-7.54,0.019,0.479,0.09,0.188,179882,10,0,4,14
nJuQEHyu9lD6IvIwRX3URP,Wild Bloom,Rio Ryder,indie,energetic|playful,0.442,0.568,0.519,110.5,-10.89,0.078,0.317,0.163,0.0,260513,0,0,5,21
Zjscs9Tfw7CPqVEnm0Ir7J,Wild Shadow,The Waves,jazz,chill|dreamy,0.525,0.214,0.486,111.9,-7.34,0.028,0.388,0.147,0.119,265752,8,1,4,65
PmW9susPd6XfPKoIVU27c6,Neon Light,Jax Cross,reggae,nostalgic|sad|tense,0.429,0.563,0.758,72.1,-7.35,0.144,0.359,0.113,0.346,238228,10,1,4,43
kUDPqTlaVvYsKRWmlN2O5z,Hollow City,Nadia Blake,blues,playful|romantic,0.67,0.34,0.594,116.4,-10.62,0.207,0.511,0.418,0.038,202455,2,1,4,48
tkzRG754TXtShO68sxNoo9,Silent Garden,Cole Wells,electronic,tense,0.775,0.898,0.506,118.4,-2.1,0.025,0.0,0.381,0.116,196341,10,0,4,56
2HChRnTLFf5GCZdDiGADKd,Sweet Storm,Ezra Vance,latin,energetic|happy,0.803,0.901,0.743,110.1,-2.66,0.09,0.156,0.0,0.267,234063,8,0,5,33
5yC366yyfR9Q3IiP3whlIz,Bitter Shadow,Rio Vance,rock,playful,0.484,0.906,0.589,132.2,-6.38,0.072,0.543,0.2,0.14,157448,10,1,4,63
bpnegMcCMRT3dpVczCoInW,Golden Shadow,Ezra Voss,r&b,melancholic|dreamy,0.58,0.367,0.176,106.1,-8.44,0.176,0.144,0.022,0.142,195666,10,1,5,49
Fdw8PQyYHuSAAjtylWIEp2,Lonely Rain,Mira Shaw,blues,melancholic,0.202,0.406,0.515,96.8,-6.92,0.173,0.637,0.288,0.241,279115,10,1,5,14
mZWLUQJnEn36vt96an7m9V,Electric Garden,Sena Cade,country,uplifting|tense,0.49,0.527,0.605,90.4,-6.37,0.042,0.451,0.0,0.14,189326,4,1,5,12
AcK3oVjbqJ7LLUAsjmvoyK,Lonely Garden,Wren Ryder,country,playful|dreamy|melancholic,0.403,0.38,0.646,122.0,-8.88,0.086,0.299,0.126,0.0,217565,3,1,4,27
oeTjanGDxdNOQ7N6EQFbaI,Sweet Light,The Citys,hip-hop,uplifting|chill,0.738,0.539,0.62,123.0,-0.23,0.192,0.245,0.111,0.0,203540,1,0,3,12
x9zDKpSotR02fP2PWcfzyy,Sweet Garden,The Horizons,reggae,happy|nostalgic,0.821,0.619,0.443,94.2,-7.3,0.079,0.364,0.0,0.203,142505,4,1,3,38
cl72ub9nLjW0T0z7etkKpK,Burning Star,Mira Reyes,folk,happy|aggressive,0.483,0.199,0.542,104.4,-8.79,0.158,0.698,0.065,0.236,185499,0,0,4,65
lRLQyfXNsZpTefrjyTYOjV,Burning Road,Nova Vance,blues,romantic|tense,0.359,0.595,0.494,105.5,-9.43,0.002,0.348,0.044,0.019,187592,8,1,4,49
U5J5pKHkRykirtrFjekBrA,Fading Garden,Cole Ryder,rock,tense|romantic,0.552,0.857,0.369,129.5,-6.67,0.078,0.16,0.027,0.078,194530,6,0,4,15
uM8SmEul9z9usVSOF9KYpu,Burning Fire,Nadia Frost,metal,nostalgic,0.508,0.919,0.417,131.8,-1.48,0.075,0.0,0.376,0.066,177670,10,0,4,76
QjTBYyeCMELzIG763SAIcY,Distant Star,Nova Blake,electronic,uplifting|aggressive,0.594,0.697,0.421,122.1,-5.69,0.008,0.0,0.478,0.111,274398,6,1,4,35
xzDXRLSGjwbEgsA69fh18U,Silent Ocean,Iris Hale,folk,chill|sad|dreamy,0.384,0.233,0.374,115.5,-10.46,0.067,0.617,0.0,0.105,238074,11,0,4,53
oZzOllOQBzbVN4mCLByaTn,Velvet Fire,Nova Blake,r&b,aggressive|energetic,0.607,0.592,0.477,80.9,-8.16,0.033,0.131,0.121,0.224,211979,2,0,4,0
LfRiuhpthlxSjGyAMiKyBl,Restless Star,Jax Quinn,rock,energetic|nostalgic,0.389,0.781,0.848,114.5,-7.97,0.021,0.0,0.02,0.102,246313,10,1,5,22
WoscroIskXDKVXXFJGhKhr,Sweet Ocean,Kai Shaw,metal,playful|sad,0.507,0.937,0.431,111.6,-7.42,0.058,0.025,0.223,0.109,176979,7,1,4,49
OBkNiYn0nZdKwIrMIkuTss,Faded Fire,Zara Blake,blues,playful|tense,0.465,0.399,0.307,93.1,-4.04,0.146,0.527,0.128,0.254,269115,3,1,5,69
Y4XfzGVrS74xD8FuLa3X2U,Broken Storm,Cole Reyes,pop,sad|romantic,0.941,0.639,0.81,136.9,-3.5,0.0,0.365,0.02,0.098,173511,9,1,4,39
72kCDa9BmS6i4Ptk374rfP,Distant Fire,The Skylines,jazz,aggressive,0.534,0.357,0.66,122.7,-14.52,0.127,0.474,0.281,0.045,268791,7,0,3,52
iEeoyfUZggux4tiyX0W3iP,Silent Dream,Ava Quinn,jazz,chill|dreamy,0.47,0.201,0.491,114.7,-8.04,0.092,0.578,0.369,0.042,209709,0,1,3,65
pJMMUMsX8Sb22Q4tnHMGmV,Burning Rain,Rio Knox,country,sad|romantic|uplifting,0.541,0.453,0.492,115.9,-6.01,0.054,0.415,0.27,0.058,151068,3,1,3,60
c7d8YzGsOTGXABSzfOIINj,Wild Dream,Zara Hale,reggae,melancholic|aggressive,0.714,0.538,0.566,105.0,-10.76,0.09,0.35,0.0,0.203,254930,1,0,5,59
QVQVlhaTiSakF8wHHY0Uqk,Distant Shadow,Talia Blake,folk,chill,0.489,0.364,0.283,77.5,-7.63,0.063,0.67,0.019,0.225,232676,9,0,4,40
VGac23apcExy6jl792cJZ6,Hollow Memory,Finn Lark,country,tense|melancholic,0.544,0.593,0.554,118.2,-8.88,0.105,0.159,0.137,0.063,199374,4,0,5,40
DaxmsKYtVNpDxLFXXmU5IW,Lonely Shadow,The Lights,rock,energetic,0.447,0.541,0.546,157.6,-6.72,0.111,0.216,0.246,0.197,199432,5,0,5,82
rfc6o52HAS5xDVfLgGiO0z,Broken Wave,Finn Marsh,classical,chill|tense,0.179,0.111,0.585,88.4,-18.16,0.017,0.908,0.807,0.229,324783,6,1,3,55
AhIw9XnCtDq2hfkZRt0TSM,Golden Echo,Wren Marsh,latin,dreamy,0.789,0.523,0.876,107.0,0.0,0.116,0.124,0.137,0.279,229642,7,1,4,50
oim0zxRO8PfLLq60ebem5P,Endless Shadow,The Roads,classical,happy,0.27,0.273,0.366,126.3,-16.05,0.01,1.0,0.936,0.108,209472,1,0,3,82
NNNpPsFA4JEdfryiAmP4ZH,Lonely Star,Nadia Frost,r&b,romantic|aggressive|nostalgic,0.667,0.759,0.557,83.2,-7.44,0.018,0.0,0.099,0.192,241899,7,0,3,36
rI0Y6VdW8oK2Zyw712llpL,Crystal Ocean,Ava Frost,reggae,uplifting|sad,0.659,0.636,0.85,94.0,-8.88,0.149,0.283,0.265,0.057,221657,9,0,4,68
Tl6Z23udbjLT6jXh2H3x9e,Distant Ghost,Wren Stone,latin,energetic,0.903,0.803,0.582,111.4,-4.52,0.072,0.137,0.15,0.27,304437,3,0,4,45
lUa8S8Kz2X9KclMu6Z9NoO,Faded River,Mira Lark,country,chill,0.629,0.255,0.545,108.4,-3.04,0.022,0.275,0.201,0.172,267585,2,1,4,43
dyCUAk4AF4ywIyg1EY3KPW,Lonely Skyline,Kai Stone,classical,chill,0.2,0.373,0.722,83.9,-22.0,0.023,1.0,0.9,0.176,215043,4,0,3,52
dgvnmASJU7UIqQstpgdzKJ,Restless Shadow,The Horizons,rock,sad|tense|uplifting,0.565,0.833,0.377,120.5,-3.2,0.097,0.272,0.0,0.063,184921,0,1,4,28
x4yxlCcqCDqo1rKdjWSQgf,Distant Star,Rio Cross,r&b,tense|romantic|melancholic,0.57,0.509,0.483,115.1,-5.13,0.042,0.259,0.108,0.244,156299,1,1,4,47
8knZmicBfRBm0Oj1Mqu6U6,Broken Dream,Nadia Lark,blues,melancholic|nostalgic,0.594,0.389,0.411,109.4,-5.82,0.074,0.626,0.0,0.021,209507,9,0,3,65
3I4w4AqyPFKMEclrzjNMRS,Burning Heart,Wren Voss,pop,tense,0.659,0.688,0.396,112.2,-4.77,0.0,0.0,0.002,0.062,299560,9,0,4,28
PfmCn60AVFWH3x0dGYketT,Bitter Ghost,The Citys,jazz,sad,0.519,0.385,0.602,123.7,-11.38,0.039,0.434,0.274,0.187,-1000,11,1,4,42
xFMCl93ELJwwk15qV1Sfsb,Burning Heart,Sena Voss,blues,dreamy|chill,0.574,0.463,0.449,89.9,-7.72,0.022,0.547,0.158,0.232,142742,10,0,4,72
DqnDtRH0NzLgaGQ911xJPM,Radiant Rain,Leo Knox,country,aggressive,0.311,0.53,0.822,113.0,-4.92,0.14,0.303,0.0,0.172,269026,4,1,4,75
RiUbPFsq6AzyVcLTK0mvUT,Lonely Star,Reo Frost,jazz,nostalgic,0.357,0.249,0.319,117.9,-12.32,0.11,0.533,0.489,0.288,273469,9,1,4,23
xqLsD2hEd3OLL8NeE4mGh3,Burning City,Kai Marsh,reggae,playful|aggressive,0.723,0.599,0.731,71.0,-6.46,0.129,0.334,0.123,0.128,229856,5,0,4,8
WXkKWkFYWXfiNBOBzB9Eya,Golden Star,Cole Vance,metal,tense|melancholic,0.52,1.0,0.075,142.1,-3.57,0.0,0.206,0.287,0.405,209634,7,1,4,51
vB4Riv5FwWmk866ZzbooUi,Velvet Horizon,Jax Blake,pop,dreamy|nostalgic,0.625,0.499,0.602,123.2,-7.98,0.105,0.381,0.0,0.243,279637,4,1,4,41
qESjnSROatAQgQHrNMSiA1,Electric City,Leo Stone,country,tense,0.39,0.616,0.519,129.7,-7.12,0.054,0.304,0.012,0.134,199648,6,0,5,25
6h1KQFj8fXGeUUg5qPoDsq,Endless Heart,The Skylines,r&b,nostalgic,0.675,0.576,0.435,112.9,-7.7,0.074,0.382,0.076,0.082,215625,7,1,4,74
x0vlhzz9Dr1yS2EZAP4Zkh,Silent Heart,Jax Blake,classical,nostalgic|melancholic,0.303,0.283,0.327,100.2,-18.77,0.104,0.895,0.747,0.032,233020,7,1,3,61
aT3RHXVKUKo9Q3vHHSSNgB,Lonely Garden,Nadia Marsh,r&b,happy,0.699,0.607,0.427,74.0,-6.2,0.056,0.228,0.0,0.193,205608,6,1,3,71
fDCZKCf2FCuhFVPbgzAcJJ,Midnight Dream,Ezra Hale,hip-hop,playful|aggressive|happy,0.818,0.515,0.494,100.1,-8.7,0.18,0.01,0.012,0.221,164463,6,1,4,43
c5kFi0TVUAgqNmmh72znD0,Velvet Road,The Lights,electronic,playful,0.78,0.691,0.522,114.8,-6.08,0.067,0.0,0.326,0.146,212769,5,1,5,14
X66lSLlU0igyQMM4uG4yAM,Lonely Fire,Wren Stone,blues,nostalgic|sad|melancholic,0.424,0.421,0.332,83.0,-10.58,0.065,0.629,0.067,0.148,210607,6,1,5,19
uThWwJELK8QTARV51Is42B,Midnight City,The Ghosts,indie,happy|sad,0.32,0.532,0.376,99.8,-8.15,0.094,0.311,0.087,0.116,155584,10,0,4,14
ypGYYZSsSQd7yyA9YRu9Jd,Midnight Fire,Iris Voss,jazz,tense|melancholic,0.495,0.4,0.461,119.8,-14.24,0.037,0.524,0.389,0.311,286861,1,0,5,52
avDT7jcj7uMdX7ON1QtFYK,Sweet Ocean,The Roads,metal,playful|romantic,0.464,1.0,0.407,139.5,-0.54,0.041,0.174,0.147,0.171,222852,4,1,4,65
0WPahQwCp5PN6Np9cR4uy6,Electric Ghost,Ezra Vance,latin,uplifting,0.997,0.576,0.695,105.5,-3.8,0.037,0.136,0.008,0.232,228169,8,1,5,77
1S4VXBP08eVRjbDTvcfedl,Wild Star,The Memorys,r&b,aggressive|romantic,0.897,0.57,0.514,92.7,-4.51,0.043,0.369,0.089,0.187,215677,10,0,4,51
YRtMfsW7Cyz0QbEkIoiVzY,Sweet Rain,Mira Stone,country,playful|happy,0.48,0.53,0.611,101.5,-9.69,0.062,0.264,0.0,0.017,210283,8,0,4,37
qmhlQZK2d2W7JDPJesQeqg,Velvet Wave,Wren Frost,blues,dreamy|energetic,0.392,0.429,0.602,88.3,-10.4,0.138,0.506,0.0,0.225,194083,6,0,4,56
upYoTVPBr1xiRUv4EDCwXt,Restless Star,The Blooms,jazz,nostalgic,0.652,0.212,0.33,102.4,-12.43,0.004,0.482,0.42,0.085,192014,6,0,3,58
qI5IEPXjxzo5XLU2siDGGf,Burning Ocean,Rio Quinn,blues,romantic|energetic,0.567,0.226,0.481,81.2,-5.21,0.0,0.73,0.015,0.026,161125,9,1,5,46
E6D4ccPugT9HO1r1VqLIKl,Burning Ghost,Nova Ryder,metal,playful|energetic|aggressive,0.432,0.731,0.019,134.7,-3.14,0.042,0.005,0.0,0.153,206930,3,1,4,49
QoAZvUhEREEnLkP1AbpciK,Faded Skyline,The Citys,blues,nostalgic,0.543,0.348,0.197,94.9,-8.49,0.077,0.523,0.084,0.107,193373,2,0,4,15
ME3Eko1AMjYL0XlNQGqkUR,Crystal Storm,Nova Voss,hip-hop,aggressive|sad|energetic,0.618,0.737,0.54,87.5,-8.38,0.279,0.261,0.284,0.169,197803,1,0,4,31
a58XRPBHAx3cSHBo8ZEYXy,Distant Wave,Leo Wells,blues,chill|dreamy,0.603,0.352,0.495,118.2,-13.15,0.0,0.319,0.264,0.0,201887,1,1,4,65
xgjBPLqq2IBKxNrRzWnAJY,Sweet Garden,Toma Knox,blues,playful|melancholic,0.364,0.59,0.502,114.8,-8.86,0.121,0.389,0.125,0.155,176515,3,1,4,42
Zf0jE7MBfeqoxfMcUy7zNP,Bitter Rain,Kai Quinn,latin,romantic|sad|uplifting,0.746,0.512,0.835,90.9,-5.97,0.032,0.026,0.018,0.172,254462,5,0,4,23
wQzzLmHaVTe6fJsU1J6Lww,Wild Memory,Sena Shaw,latin,uplifting|energetic|romantic,0.909,0.622,0.689,98.7,-8.78,0.038,0.238,0.0,0.066,153725,1,1,4,0
DRD5L3bEhqeyOYoRSoZuA9,Distant City,Talia Voss,rock,sad|dreamy,0.368,0.749,0.51,127.2,-10.31,0.039,0.163,0.0,0.15,258258,6,1,4,47
Vp3qnom1p1NwjXgh6fR9QF,Radiant Horizon,Toma Cross,blues,chill|nostalgic,0.144,0.367,0.56,98.1,-5.8,0.094,0.557,0.244,0.301,238525,11,0,4,39
XlDhSHDuSaaRnyLguxN3ql,Sweet Fire,Reo Lark,metal,energetic|aggressive,0.495,0.798,0.682,148.4,-5.24,0.052,0.0,0.084,0.185,171537,8,0,5,22
mjZ9VjEZalAFi52OHIUuYF,Fading Fire,Kai Cade,country,dreamy,0.745,0.515,0.462,114.7,-5.8,0.028,0.424,0.0,0.117,240686,3,1,4,54
mKKPPIlXswuRGFXVC4fyNs,Endless Shadow,Wren Wells,pop,nostalgic|happy|sad,0.72,0.74,0.636,108.7,-7.54,0.109,0.093,0.017,0.184,180841,6,0,4,79
l2biUpQq8VSVfnkzgge74E,Sweet Heart,The Ghosts,electronic,happy,0.492,0.712,0.701,106.1,-1.81,0.083,0.0,0.191,0.0,214358,7,1,4,20
3I7rJCi8SIlLMDOVO4KBHO,Sweet Rain,Reo Voss,metal,aggressive,0.498,1.0,0.447,149.8,-5.43,0.041,0.0,0.102,0.163,206820,10,1,4,59
XBZsMoYaJxmA4JBzpkTVPy,Burning Memory,Finn Voss,classical,chill|dreamy,0.199,0.191,0.496,100.3,-19.35,0.046,1.0,0.81,0.27,197259,7,1,3,23
sriTCUaofjaFnvAtYZFxDS,Golden Road,The Shadows,latin,energetic,0.791,0.777,0.774,-5.0,-9.21,0.083,0.234,0.122,0.062,216768,2,0,5,98
mDVXgHQnEyR9t7ukOUcV7J,Bitter River,Ezra Hale,country,playful,0.595,0.672,0.673,121.2,-11.28,0.122,0.452,0.235,0.269,215447,7,0,3,79
pkFfRNv7WOddwPjSIYgiFo,Crystal Star,Cole Shaw,electronic,happy|aggressive,0.807,0.765,0.476,110.7,-6.48,0.083,0.061,0.394,0.279,204733,11,1,5,64
HjCs0qIxDaXOGyUl4bN2xX,Radiant Memory,Nova Cade,indie,melancholic|romantic,0.72,0.72,0.74,109.9,-4.79,0.072,0.19,0.112,0.21,177598,4,0,3,71
1yQFHNSLqdxoMTea76nPF7,Broken Storm,Kai Frost,reggae,tense|happy,0.755,0.631,0.538,100.0,-2.33,0.092,0.321,0.195,0.161,224086,1,1,4,66
O8lJVJAVgXOKwRDSQB4gkY,Neon Star,Wren Quinn,metal,nostalgic|melancholic,0.491,0.897,0.393,168.7,-6.67,0.126,0.135,0.144,0.242,189584,8,0,5,42
csMbHi4taton2ubX08S0r6,Sweet City,Mira Blake,classical,melancholic,0.369,0.148,0.262,108.0,-20.33,0.046,0.692,0.76,0.0,194483,5,1,4,45
05SSK06gMPtcUZKyfXd6Xv,Distant Light,Leo Voss,hip-hop,uplifting,0.749,0.724,0.61,102.0,-7.52,0.11,0.005,0.0,0.282,208668,7,0,4,13
jivfEKVdJzqfzGBXSiWiEJ,Velvet Garden,Sena Voss,folk,happy|tense,0.374,0.419,0.681,116.4,-9.85,0.076,0.798,0.184,0.138,175306,7,0,4,13
jCc70omRxjWU2fhVdp8N7j,Fading Horizon,Leo Stone,classical,melancholic|chill|dreamy,0.387,0.187,0.27,94.8,-16.78,0.019,1.0,0.881,0.271,218004,5,1,5,32
